Robject;LMM;STATO_SIMPLE;STATO;STATO_full;comment
CategoricalValueSpecification;;stato:categorical_value_specification;obo:OBI_0001930;http://purl.obolibrary.org/obo/OBI_0001930#categorical_value_specification;
description;;dc:description;dc:description;http://purl.org/dc/elements/1.1/description;
creator;;dc:creator;dc:creator;http://purl.org/dc/elements/1.1/creator;
dataset;;stato:dataset;obo:IAO_0000100;http://purl.obolibrary.org/obo/IAO_0000100#dataset;
correlation;;stato:correlation_coefficient;obo:STATO_0000142;http://purl.obolibrary.org/obo/STATO_0000142#correlation_coefficient;
BlockingVariable;;stato:blocking_variable;obo:STATO_0000248;http://purl.obolibrary.org/obo/STATO_0000248#blocking_variable;
hasValueSpecification;;stato:has_value_specification;obo:OBI_0001938;http://purl.obolibrary.org/obo/OBI_0001938#has_value_specification;
ContinuousVariable;;stato:continuous_variable;obo:STATO_0000251;http://purl.obolibrary.org/obo/STATO_0000251#continuous_variable;
containment;;xxx:containment;lmm:containment_calculation;http://igr.poznan.pl/lmm#containment_calculation;
isDenotedBy;;stato:is_denoted_by;obo:STATO_0000205;http://purl.obolibrary.org/obo/STATO_0000205#is_denoted_by;
isRelativeTo;;lmm:is_relative_to;lmm:is_relative_to;http://igr.poznan.pl/lmm#is_relative_to;
pdIdent;;stato:sigma2i;obo:STATO_0000588;http://purl.obolibrary.org/obo/STATO_0000588#scaledIdntity;
pdCompSymm;;stato:cs;obo:STATO_0000362;http://purl.obolibrary.org/obo/STATO_0000362#CS;
pdDiag;;lmm:diagonalCS;lmm:diagonal_covariance_structure;http://igr.poznan.pl/lmm#diagonal_CS;
hasEffectOn;;;obo:STATO_0000344;http://purl.obolibrary.org/obo/STATO_0000344#has_effect_on;
hasFixedEffectOn;;;obo:STATO_0000345;http://purl.obolibrary.org/obo/STATO_0000345#has_fixed_effect_on;
hasRandomEffectOn;;;obo:STATO_0000381;http://purl.obolibrary.org/obo/STATO_0000381#has_random_effect_on;
fixedEffect;;;lmm:fixed_effect;;
randomEffect;;;lmm:random_effect;;
RelativeEffect;relativeEffect;xxx:relative_effect;lmm:relative_effect;http://igr.poznan.pl/lmm#relative_effect;
DirectEffect;directEffect;xxx:direct_effect;lmm:direct_effect;http://igr.poznan.pl/lmm#direct_effect;
pdAR;;xxx:autoregressionCS;obo:STATO_0000365;http://purl.obolibrary.org/obo/STATO_0000365#AR(1);
WaldTest;;;obo:STATO_0000559;http://purl.obolibrary.org/obo/STATO_0000559#Wald_test;
covariance;;stato:covariance;obo:STATO_0000301;http://purl.obolibrary.org/obo/STATO_000030#covariance;
testingOfTerm;;;obo:STATO_0000558;http://purl.obolibrary.org/obo/STATO_0000558#term_testing;
compoundVariable;;;lmm:compound_variable;http://igr.poznan.pl/lmm#compound_variable;
